NAME,ID,SIZE
qwen2.5:0.5b,a8b0c5157701,1.4 GB
qwen2.5:0.5b,a8b0c5157701,2.4 GB
qwen2.5:1.5b,65ec06548149,2.1 GB
qwen2.5:1.5b,65ec06548149,3.4 GB
qwen2.5:3b,357c53fb659c,3.1 GB
qwen2.5:3b,357c53fb659c,4.9 GB
qwen2.5:7b,845dbda0ea48,6.0 GB
qwen2.5:7b,845dbda0ea48,9.0 GB
qwen2.5:14b,7cdf5a0187d5,11 GB
qwen2.5:14b,7cdf5a0187d5,18 GB
qwen2.5:32b,9f13ba1299af,23 GB
qwen2.5:32b,9f13ba1299af,31 GB
qwen2.5:72b,424bad2cc13f,51 GB
qwen2.5:72b,424bad2cc13f,63 GB
llama3.2:1b,baf6a787fdff,2.8 GB
llama3.2:1b,baf6a787fdff,5.3 GB
llama3.2:3b,a80c4f17acd5,4.0 GB
llama3.2:3b,a80c4f17acd5,8.2 GB
llama3.1:8b,42182419e950,6.7 GB
llama3.1:8b,42182419e950,11 GB
llama3.2-vision:11b,38107a0cd119,12 GB
llama3.2-vision:11b,38107a0cd119,13 GB
llama3.1:70b,c0df3564cfe8,44 GB
llama3.1:70b,c0df3564cfe8,55 GB
llama3.3:70b,a6eb4748fd29,46 GB
llama3.3:70b,a6eb4748fd29,58 GB
llama3.2-vision:90b,2ba4f038aab3,60 GB
llama3.2-vision:90b,2ba4f038aab3,63 GB
qwen2.5:0.5b-instruct-fp16,c82efd44bfdc,2.0 GB
qwen2.5:0.5b-instruct-fp16,c82efd44bfdc,3.0 GB
qwen2.5:1.5b-instruct-fp16,d8035f049126,4.3 GB
qwen2.5:1.5b-instruct-fp16,d8035f049126,5.6 GB
qwen2.5:3b-instruct-fp16,de47f806df14,7.5 GB
qwen2.5:3b-instruct-fp16,de47f806df14,9.3 GB
qwen2.5:7b-instruct-fp16,59805ce4a404,16 GB
qwen2.5:7b-instruct-fp16,59805ce4a404,19 GB
qwen2.5:14b-instruct-fp16,06c8c6f15cf9,31 GB
qwen2.5:14b-instruct-fp16,06c8c6f15cf9,38 GB
llama3.2:1b-instruct-fp16,2887c3d03e74,4.0 GB
llama3.2:1b-instruct-fp16,2887c3d03e74,6.5 GB
llama3.2:3b-instruct-fp16,195a8c01d91e,8.6 GB
llama3.2:3b-instruct-fp16,195a8c01d91e,12 GB
llama3.1:8b-instruct-fp16,4aacac419454,17 GB
llama3.1:8b-instruct-fp16,4aacac419454,22 GB
llama3.2-vision:11b-instruct-fp16,61be32b20340,25 GB
llama3.2-vision:11b-instruct-fp16,61be32b20340,26 GB
