model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,0,2.563,0.3956376056576321,0.32868352223190933,0.0,0.0,0.6111595466434177,1214313,413.0652117638134
qwen2.5:0.5b,1,2.557,0.4560196093674358,0.4237140366172624,0.0,0.0,0.8901482127288579,1344480,458.4164570035109
qwen2.5:0.5b,2,2.56,0.42982944770339115,0.43940714908456846,0.0,0.0,0.9250217959895379,1476708,502.91112685265915
qwen2.5:0.5b,4,2.564,0.40738307398217627,0.44812554489973844,0.0,0.0,0.9145597210113339,1685868,573.2474460268733
qwen2.5:0.5b,8,2.571,0.445344649942727,0.4969485614646905,0.0,0.0,0.9285091543156059,2123791,720.1886645933772
qwen2.5:0.5b,10,2.573,0.4585243842864188,0.4978204010462075,0.0,0.0,0.9503051438535309,2408373,816.0570961744439
llama3.2:1b,0,2.698,0.6314437393934343,0.5850043591979076,0.0,0.0,0.9380993897122929,1241485,401.1770803779221
llama3.2:1b,1,2.72,0.5994830016131288,0.6041848299912816,0.0,0.0,0.995640802092415,1357282,435.0485922354992
llama3.2:1b,2,2.736,0.6279207719943378,0.6129032258064516,0.0,0.0,1.0,1485767,473.44681268705034
llama3.2:1b,4,2.713,0.5830923988240463,0.5710549258936356,0.0,0.0,1.0,1694380,544.4996498823353
llama3.2:1b,8,2.703,0.5006498173386404,0.5239755884917175,0.0,0.0,1.0,2113458,681.6856597387191
llama3.2:1b,10,2.694,0.5716946001122809,0.5954664341761116,0.0,0.0,0.999128160418483,2397182,775.7825358946128
qwen2.5:1.5b,0,2.578,0.5968787516612039,0.5292066259808196,0.0,0.0,0.994768962510898,1212553,410.066602050886
qwen2.5:1.5b,1,2.571,0.7437736712573402,0.6617262423714037,0.0,0.0,0.9755884917175239,1343988,455.75337825121386
qwen2.5:1.5b,2,2.573,0.7278194124620956,0.6373147340889277,0.0,0.0,0.993025283347864,1475494,499.95883073876627
qwen2.5:1.5b,4,2.572,0.6820534476500574,0.5945945945945946,0.0,0.0,0.998256320836966,1684404,570.9681487035623
qwen2.5:1.5b,8,2.581,0.643338898343418,0.5658238884045336,0.0,0.0,0.999128160418483,2122623,717.0037768455486
qwen2.5:1.5b,10,2.584,0.6962222926605997,0.6198779424585876,0.0,0.0,0.999128160418483,2406967,812.1087856057395
llama3.2:3b,0,2.614,0.6756771982611073,0.6800348735832606,0.0,0.0,0.993025283347864,1244095,414.9392747388651
llama3.2:3b,1,2.602,0.7800473759698292,0.7672188317349607,0.0,0.0,0.999128160418483,1358707,455.25539672721743
llama3.2:3b,2,2.597,0.7949834786001261,0.7785527462946817,0.0,0.0,1.0,1485538,498.71036898251924
llama3.2:3b,4,2.593,0.7944781908153252,0.7820401046207498,0.0,0.0,1.0,1693184,569.29611646405
llama3.2:3b,8,2.594,0.8343528923538378,0.8291194420226679,0.0,0.0,1.0,2113854,710.4632177131991
llama3.2:3b,10,2.601,0.8386534079171795,0.8326068003487358,0.0,0.0,1.0,2396819,803.3993363829284
qwen2.5:3b,0,2.609,0.749088909187772,0.7419354838709677,0.0,0.0,0.985178727114211,1217126,406.7223543478196
qwen2.5:3b,1,2.602,0.8844930523232698,0.8622493461203139,0.0,0.0,0.9895379250217959,1344147,450.37684780066576
qwen2.5:3b,2,2.604,0.8828849427391043,0.8587619877942458,0.0,0.0,0.994768962510898,1475957,494.1619559205407
qwen2.5:3b,4,2.604,0.8918467797829202,0.8674803836094158,0.0,0.0,0.992153443766347,1685475,564.3102222186509
qwen2.5:3b,8,2.608,0.9099600064839988,0.8927637314734089,0.0,0.0,0.995640802092415,2123736,709.9528778729253
qwen2.5:3b,10,2.61,0.9024281445311965,0.8814298169136879,0.0,0.0,0.992153443766347,2408264,804.452060514352
qwen2.5:7b,0,2.686,0.9001961130594346,0.8962510897994769,0.0,0.0,0.995640802092415,1218712,395.5775726246266
qwen2.5:7b,1,2.669,0.9180364399352638,0.9049694856146469,0.0,0.0,0.997384481255449,1345701,439.5786424454888
qwen2.5:7b,2,2.681,0.9194088799200296,0.9136878814298169,0.0,0.0,0.998256320836966,1478594,480.82684602519515
qwen2.5:7b,4,2.688,0.9151124343202138,0.9084568439407149,0.0,0.0,1.0,1688761,547.741325715116
qwen2.5:7b,8,2.693,0.9161256129178684,0.9075850043591979,0.0,0.0,1.0,2126875,688.5606423835764
qwen2.5:7b,10,2.681,0.9282894178983229,0.9224062772449869,0.0,0.0,0.999128160418483,2410719,783.9463797519892
llama3.1:8b,0,2.717,0.7395430483411608,0.7515257192676548,0.0,0.0,1.0,1240867,398.1733404483829
llama3.1:8b,1,2.667,0.9008841293781361,0.8971229293809939,0.0,0.0,0.999128160418483,1354670,442.84024217984086
llama3.1:8b,2,2.675,0.8805818577395288,0.8796861377506539,0.0,0.0,1.0,1483948,483.6503189955105
llama3.1:8b,4,2.679,0.9227455931583851,0.9215344376634699,0.0,0.0,1.0,1692458,550.7845742646884
llama3.1:8b,8,2.676,0.9208394184568485,0.9197907585004359,0.0,0.0,1.0,2113220,688.4861137718074
llama3.1:8b,10,2.684,0.9309776744587026,0.9311246730601569,0.0,0.0,1.0,2396467,778.4406804766403
llama3.2-vision:11b,0,2.718,0.7351851106606435,0.7489102005231038,0.0,0.0,0.999128160418483,1240648,397.956597913872
llama3.2-vision:11b,1,2.666,0.8921573261402523,0.8892763731473409,0.0,0.0,0.998256320836966,1354566,442.97233855107197
llama3.2-vision:11b,2,2.673,0.8712777224427848,0.8709677419354839,0.0,0.0,1.0,1483796,483.962620163337
llama3.2-vision:11b,4,2.672,0.9147446071734359,0.9136878814298169,0.0,0.0,1.0,1692333,552.1867120162465
llama3.2-vision:11b,8,2.672,0.913646018877999,0.911944202266783,0.0,0.0,1.0,2113040,689.4580498984593
llama3.2-vision:11b,10,2.68,0.9262989671623613,0.925893635571055,0.0,0.0,1.0,2396296,779.5469036682325
qwen2.5:14b,0,2.874,0.8848366758489808,0.8831734960767219,0.0,0.0,1.0,1218172,369.53742752113016
qwen2.5:14b,1,2.852,0.9457126893600687,0.941586748038361,0.0,0.0,1.0,1345978,411.45753725494035
qwen2.5:14b,2,2.849,0.9404628437554393,0.937227550130776,0.0,0.0,1.0,1478063,452.31092571981844
qwen2.5:14b,4,2.86,0.9294905140450944,0.9250217959895379,0.0,0.0,1.0,1687961,514.5563677821742
qwen2.5:14b,8,2.882,0.9376867879813737,0.934612031386225,0.0,0.0,1.0,2126157,643.1880045522006
qwen2.5:14b,10,2.888,0.9500250926638638,0.946817785527463,0.0,0.0,1.0,2410664,727.7397136212255
qwen2.5:32b,0,3.345,0.9283242190649389,0.9267654751525719,0.0,0.0,1.0,1219748,317.91467440245106
qwen2.5:32b,1,3.229,0.9575550638190302,0.955536181342633,0.0,0.0,0.999128160418483,1345498,363.2884525400934
qwen2.5:32b,2,3.312,0.9571844979649234,0.95640802092415,0.0,0.0,1.0,1480258,389.65806620084317
qwen2.5:32b,4,3.29,0.9622535355596386,0.960767218831735,0.0,0.0,1.0,1689105,447.6074760906607
qwen2.5:32b,8,3.315,0.9668225511204042,0.9659982563208369,0.0,0.0,1.0,2127796,559.6068700433027
qwen2.5:32b,10,3.332,0.9653028876450642,0.963382737576286,0.0,0.0,1.0,2412684,631.2945404840228
llama3.1:70b,0,4.296,0.9510519557816605,0.951176983435048,0.0,0.0,1.0,1234915,250.61633538386107
llama3.1:70b,1,4.57,0.9500935114190906,0.949433304272014,0.0,0.0,1.0,1353103,258.1375827722972
llama3.1:70b,2,4.756,0.9481168366060229,0.9476896251089799,0.0,0.0,1.0,1482293,271.7244972257317
