model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,10,2.573,0.4585243842864188,0.4978204010462075,0.0,0.0,0.9503051438535309,2408373,816.0570961744439
llama3.2:1b,0,2.698,0.6314437393934343,0.5850043591979076,0.0,0.0,0.9380993897122929,1241485,401.1770803779221
qwen2.5:1.5b,1,2.571,0.7437736712573402,0.6617262423714037,0.0,0.0,0.9755884917175239,1343988,455.75337825121386
llama3.2:3b,10,2.601,0.8386534079171795,0.8326068003487358,0.0,0.0,1.0,2396819,803.3993363829284
qwen2.5:3b,8,2.608,0.9099600064839988,0.8927637314734089,0.0,0.0,0.995640802092415,2123736,709.9528778729253
qwen2.5:7b,10,2.681,0.9282894178983229,0.9224062772449869,0.0,0.0,0.999128160418483,2410719,783.9463797519892
llama3.1:8b,10,2.684,0.9309776744587026,0.9311246730601569,0.0,0.0,1.0,2396467,778.4406804766403
llama3.2-vision:11b,10,2.68,0.9262989671623613,0.925893635571055,0.0,0.0,1.0,2396296,779.5469036682325
qwen2.5:14b,10,2.888,0.9500250926638638,0.946817785527463,0.0,0.0,1.0,2410664,727.7397136212255
qwen2.5:32b,8,3.315,0.9668225511204042,0.9659982563208369,0.0,0.0,1.0,2127796,559.6068700433027
llama3.1:70b,4,4.724,0.9595732310175878,0.959895379250218,0.0,0.0,1.0,1691379,312.15308203781615
llama3.3:70b,8,4.322,0.9586799180990596,0.9590235396687009,0.0,0.0,1.0,2113294,426.2964730639493
qwen2.5:72b,8,5.911,0.9707583280385403,0.9686137750653879,0.0,0.0,1.0,2127432,313.7843722865634
llama3.2-vision:90b,4,14.46,0.9604949085863371,0.960767218831735,0.0,0.0,1.0,1691358,101.97737558198006
llama3.1:8b_qwen2.5:7b_qwen2.5:3b,28,7.973,0.9451655027061134,0.942458587619878,0.0,0.0,1.0,2505125,273.93291504424644
qwen2.5:7b_llama3.2-vision:11b_qwen2.5:3b,28,7.969,0.9425919163655921,0.9380993897122929,0.0,0.0,0.999128160418483,2505757,274.1395575684898
llama3.1:8b_llama3.2-vision:11b_qwen2.5:3b,28,7.972,0.9357228705963148,0.9354838709677419,0.0,0.0,1.0,2505033,273.95721555522795
llama3.1:8b_qwen2.5:7b_llama3.2-vision:11b,30,8.045,0.9345604854992811,0.934612031386225,0.0,0.0,1.0,2505062,271.4744817593712
qwen2.5:14b_llama3.1:8b_qwen2.5:7b,30,8.253,0.9516475465783774,0.951176983435048,0.0,0.0,1.0,2505794,264.7098500336619
qwen2.5:14b_qwen2.5:7b_llama3.2-vision:11b,30,8.249,0.9527590126816683,0.9520488230165649,0.0,0.0,1.0,2505883,264.84761620203255
