model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,0,1.115,0.39673984784748356,0.3269398430688753,0.0,0.0,0.6242371403661726,1214525,949.660060755099
qwen2.5:0.5b,1,1.128,0.45653833141522,0.41935483870967744,0.0,0.0,0.8884045335658239,1344661,1039.298478299851
qwen2.5:0.5b,2,1.139,0.4454301259236429,0.44289450741063646,0.0,0.0,0.916303400174368,1476851,1130.445265849837
qwen2.5:0.5b,4,1.146,0.410392950210585,0.44725370531822145,0.0,0.0,0.909328683522232,1686009,1282.6608909196311
qwen2.5:0.5b,8,1.174,0.45511502049464503,0.5039232781168265,0.0,0.0,0.93025283347864,2123784,1577.171170181007
qwen2.5:0.5b,10,1.192,0.46650676454409057,0.4978204010462075,0.0,0.0,0.952920662598082,2408458,1761.567965454088
llama3.2:1b,0,3.074,0.6340917926316642,0.5867480383609416,0.0,0.0,0.937227550130776,1241517,352.11569997600594
llama3.2:1b,1,3.367,0.607909633235577,0.6111595466434177,0.0,0.0,0.9965126416739319,1357024,351.38320055495296
llama3.2:1b,2,3.522,0.6275945254410558,0.6076721883173496,0.0,0.0,1.0,1485525,367.728419742488
llama3.2:1b,4,3.536,0.5921317377226163,0.5754141238012206,0.0,0.0,1.0,1694241,417.7337003475523
llama3.2:1b,8,3.468,0.5035094684466165,0.5257192676547515,0.0,0.0,1.0,2113423,531.3050241892747
llama3.2:1b,10,3.599,0.582847147859183,0.6024411508282476,0.0,0.0,0.999128160418483,2397100,580.6853739523208
qwen2.5:1.5b,0,1.517,0.5922416064693882,0.5170008718395815,0.0,0.0,0.994768962510898,1212382,696.7716648113017
qwen2.5:1.5b,1,1.583,0.7216323635031842,0.6303400174367916,0.0,0.0,0.979947689625109,1343758,740.0766976501087
qwen2.5:1.5b,2,1.589,0.7179630095100044,0.6207497820401047,0.0,0.0,0.99128160418483,1475288,809.4490072605746
qwen2.5:1.5b,4,1.568,0.678929866006693,0.5867480383609416,0.0,0.0,0.998256320836966,1684310,936.510284148533
qwen2.5:1.5b,8,1.612,0.6344288491744472,0.5518744551002616,0.0,0.0,0.999128160418483,2122599,1147.993687275685
qwen2.5:1.5b,10,1.635,0.6941696384142996,0.6137750653879687,0.0,0.0,0.999128160418483,2407025,1283.5105007345314
llama3.2:3b,0,3.159,0.6772006238397069,0.6817785527462947,0.0,0.0,0.993897122929381,1243972,343.31878059476634
llama3.2:3b,1,2.988,0.7775263661973884,0.7672188317349607,0.0,0.0,0.999128160418483,1358740,396.45358533815585
llama3.2:3b,2,2.976,0.7972428837242481,0.7820401046207498,0.0,0.0,1.0,1485606,435.218452062885
llama3.2:3b,4,2.956,0.8030961750174608,0.7898866608544028,0.0,0.0,1.0,1693088,499.35762293351013
llama3.2:3b,8,3.091,0.8433766768075837,0.8378378378378378,0.0,0.0,1.0,2113789,596.2099376173535
llama3.2:3b,10,2.999,0.8431270323448946,0.8369659982563208,0.0,0.0,1.0,2396660,696.7332615667007
qwen2.5:3b,0,2.603,0.7425947447709037,0.7349607672188317,0.0,0.0,0.979947689625109,1217240,407.6980454113538
qwen2.5:3b,1,2.448,0.8834994347878942,0.8622493461203139,0.0,0.0,0.993025283347864,1344228,478.7382258919261
qwen2.5:3b,2,2.475,0.8865854623885976,0.8605056669572798,0.0,0.0,0.995640802092415,1476020,519.9404683275651
qwen2.5:3b,4,2.475,0.8912147916338691,0.8657367044463818,0.0,0.0,0.993897122929381,1685508,593.7343795408311
qwen2.5:3b,8,2.536,0.9045507712905608,0.8840453356582388,0.0,0.0,0.994768962510898,2123708,730.0996427382913
qwen2.5:3b,10,2.586,0.9020736743873679,0.8823016564952049,0.0,0.0,0.993897122929381,2408352,811.9476410771972
qwen2.5:7b,0,4.829,0.9018774963349793,0.8997384481255449,0.0,0.0,0.999128160418483,1218876,220.05888212075297
qwen2.5:7b,1,4.585,0.9147685763544806,0.9006102877070619,0.0,0.0,0.9965126416739319,1345643,255.87455397846924
qwen2.5:7b,2,4.83,0.9222421013666564,0.916303400174368,0.0,0.0,0.998256320836966,1478956,266.9590849113991
qwen2.5:7b,4,4.911,0.920140853835222,0.9136878814298169,0.0,0.0,1.0,1688570,299.76830832053804
qwen2.5:7b,8,5.072,0.9137827886027753,0.9040976460331299,0.0,0.0,1.0,2126717,365.56704638901647
qwen2.5:7b,10,5.13,0.9277612916162133,0.9215344376634699,0.0,0.0,0.999128160418483,2410843,409.72092635929647
llama3.1:8b,0,5.173,0.7394469881977829,0.7515257192676548,0.0,0.0,0.999128160418483,1241029,209.15874811723606
llama3.1:8b,1,4.385,0.9062566065981799,0.9032258064516129,0.0,0.0,0.999128160418483,1354847,269.37496955520277
llama3.1:8b,2,4.548,0.8806758100026353,0.8796861377506539,0.0,0.0,1.0,1483984,284.47581124404684
llama3.1:8b,4,4.631,0.9210029062209742,0.9197907585004359,0.0,0.0,1.0,1692544,318.6410824139734
llama3.1:8b,8,5.138,0.9232333222726975,0.9224062772449869,0.0,0.0,1.0,2113250,358.58602484250724
llama3.1:8b,10,5.146,0.9310137741946622,0.9311246730601569,0.0,0.0,1.0,2396535,406.02294432391096
llama3.2-vision:11b,0,5.079,0.7316879129740823,0.7445510026155188,0.0,0.0,0.999128160418483,1240701,212.97346734154843
llama3.2-vision:11b,1,4.306,0.8969183897471654,0.8936355710549259,0.0,0.0,0.999128160418483,1354614,274.26987990642607
llama3.2-vision:11b,2,4.465,0.8705520104439565,0.8700959023539668,0.0,0.0,1.0,1483864,289.74050812724363
llama3.2-vision:11b,4,4.475,0.9116612896024456,0.9102005231037489,0.0,0.0,1.0,1692311,329.7036232484061
llama3.2-vision:11b,8,4.529,0.9142682889722461,0.9128160418482999,0.0,0.0,1.0,2113019,406.75946140372525
llama3.2-vision:11b,10,4.585,0.9282201129135925,0.927637314734089,0.0,0.0,1.0,2396298,455.65702192148876
qwen2.5:14b,0,9.113,0.8853214918336425,0.8840453356582388,0.0,0.0,1.0,1218501,116.57383978031902
qwen2.5:14b,1,8.777,0.9457290788314927,0.941586748038361,0.0,0.0,1.0,1345878,133.68915486988018
qwen2.5:14b,2,8.914,0.9441864779274358,0.941586748038361,0.0,0.0,1.0,1477991,144.55587333698605
qwen2.5:14b,4,9.422,0.9302970550688996,0.925893635571055,0.0,0.0,1.0,1687978,156.19253164189175
qwen2.5:14b,8,9.922,0.9383993724252114,0.9354838709677419,0.0,0.0,1.0,2126252,186.832357778642
qwen2.5:14b,10,10.304,0.9505978096399553,0.9476896251089799,0.0,0.0,1.0,2410577,203.96316410078683
qwen2.5:32b,0,18.52,0.927103986518914,0.9250217959895379,0.0,0.0,1.0,1219604,57.413555128318585
qwen2.5:32b,1,16.646,0.9547317672642002,0.9520488230165649,0.0,0.0,0.999128160418483,1345554,70.47382171503824
qwen2.5:32b,2,18.248,0.9581054415386898,0.9572798605056669,0.0,0.0,1.0,1480308,70.72507163723523
qwen2.5:32b,4,18.109,0.9596249628433007,0.958151700087184,0.0,0.0,1.0,1689151,81.32247506538314
qwen2.5:32b,8,19.497,0.9668456241568709,0.9659982563208369,0.0,0.0,1.0,2127660,95.14172457354783
qwen2.5:32b,10,19.618,0.9637999629613571,0.9616390584132519,0.0,0.0,1.0,2412291,107.20413782940298
