model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,10,1.192,0.46650676454409057,0.4978204010462075,0.0,0.0,0.952920662598082,2408458,1761.567965454088
llama3.2:1b,0,3.074,0.6340917926316642,0.5867480383609416,0.0,0.0,0.937227550130776,1241517,352.11569997600594
qwen2.5:1.5b,1,1.583,0.7216323635031842,0.6303400174367916,0.0,0.0,0.979947689625109,1343758,740.0766976501087
llama3.2:3b,8,3.091,0.8433766768075837,0.8378378378378378,0.0,0.0,1.0,2113789,596.2099376173535
qwen2.5:3b,8,2.536,0.9045507712905608,0.8840453356582388,0.0,0.0,0.994768962510898,2123708,730.0996427382913
qwen2.5:7b,10,5.13,0.9277612916162133,0.9215344376634699,0.0,0.0,0.999128160418483,2410843,409.72092635929647
llama3.1:8b,10,5.146,0.9310137741946622,0.9311246730601569,0.0,0.0,1.0,2396535,406.02294432391096
llama3.2-vision:11b,10,4.585,0.9282201129135925,0.927637314734089,0.0,0.0,1.0,2396298,455.65702192148876
qwen2.5:14b,10,10.304,0.9505978096399553,0.9476896251089799,0.0,0.0,1.0,2410577,203.96316410078683
qwen2.5:32b,8,19.497,0.9668456241568709,0.9659982563208369,0.0,0.0,1.0,2127660,95.14172457354783
llama3.1:8b_qwen2.5:7b_qwen2.5:3b,28,12.812,0.938536106700986,0.934612031386225,0.0,0.0,1.0,2505141,170.47151741188583
llama3.2-vision:11b_qwen2.5:7b_qwen2.5:3b,28,12.251,0.9383142275653283,0.9337401918047079,0.0,0.0,1.0,2504864,178.25806722039027
llama3.1:8b_llama3.2-vision:11b_qwen2.5:3b,28,12.267,0.9340500903564527,0.9337401918047079,0.0,0.0,1.0,2505150,178.04588959299866
llama3.1:8b_llama3.2-vision:11b_qwen2.5:7b,30,14.861,0.9330795443397241,0.932868352223191,0.0,0.0,1.0,2505169,146.96894506354644
qwen2.5:14b_llama3.2-vision:11b_qwen2.5:7b,30,20.019,0.9512667742307844,0.9503051438535309,0.0,0.0,1.0,2505690,109.12431794851561
