model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,0,0.249,0.4378216632355693,0.3853530950305144,0.0,0.0,0.7297297297297297,1216938,4260.942637157173
qwen2.5:0.5b,1,0.391,0.45828434568582144,0.4210985178727114,0.0,0.0,0.8945074106364429,1344560,2998.0578714181547
qwen2.5:0.5b,2,0.241,0.4507901930864444,0.45074106364428945,0.0,0.0,0.9171752397558849,1477047,5343.352856269467
qwen2.5:0.5b,4,0.275,0.4170054939620485,0.44638186573670446,0.0,0.0,0.9058413251961639,1685879,5344.78560672109
qwen2.5:0.5b,8,0.258,0.4745123553383256,0.5143853530950305,0.0,0.0,0.9180470793374019,2124019,7177.534248426971
qwen2.5:0.5b,10,0.263,0.4741014514877524,0.5047951176983435,0.0,0.0,0.9503051438535309,2408413,7983.8394754376595
llama3.2:1b,0,0.57,0.6349826035016647,0.5823888404533566,0.0,0.0,0.9215344376634699,1241598,1899.0776854953428
llama3.2:1b,1,0.836,0.5982364043967907,0.6033129904097646,0.0,0.0,0.997384481255449,1357828,1416.038511114912
llama3.2:1b,2,0.877,0.6121354273113426,0.5989537925021796,0.0,0.0,1.0,1485681,1476.9389980704213
llama3.2:1b,4,0.897,0.5823564824220544,0.5727986050566696,0.0,0.0,1.0,1694577,1647.0449303548883
llama3.2:1b,8,0.908,0.5020605334446571,0.5231037489102005,0.0,0.0,0.999128160418483,2114037,2029.8470632064493
llama3.2:1b,10,0.924,0.5909023377557688,0.6085440278988666,0.0,0.0,0.998256320836966,2397499,2262.1585766747057
qwen2.5:1.5b,0,0.666,0.605769527914345,0.5318221447253705,0.0,0.0,0.992153443766347,1212748,1587.5701333417114
qwen2.5:1.5b,1,0.527,0.7513135985018424,0.6739319965126417,0.0,0.0,0.967741935483871,1344603,2224.4366543197416
qwen2.5:1.5b,2,0.685,0.7349601630925915,0.6425457715780296,0.0,0.0,0.99128160418483,1475839,1878.3866513087137
qwen2.5:1.5b,4,0.692,0.6952671125281216,0.6015693112467306,0.0,0.0,0.998256320836966,1684797,2122.648426909102
qwen2.5:1.5b,8,0.716,0.6434279315189874,0.5527462946817786,0.0,0.0,0.999128160418483,2122880,2584.931300015099
qwen2.5:1.5b,10,0.439,0.7027631604238056,0.6172624237140366,0.0,0.0,0.999128160418483,2407339,4780.896187538851
llama3.2:3b,0,0.935,0.654572952711421,0.6608544027898866,0.0,0.0,0.992153443766347,1244985,1160.8847073742709
llama3.2:3b,1,0.93,0.7625125544586129,0.7523975588491717,0.0,0.0,0.998256320836966,1359663,1274.632280563602
llama3.2:3b,2,0.945,0.7781214609764449,0.7628596338273758,0.0,0.0,1.0,1486224,1371.1628679370615
llama3.2:3b,4,0.939,0.7970558193009947,0.7855274629468177,0.0,0.0,1.0,1693828,1572.6797600444927
llama3.2:3b,8,0.98,0.833146676931686,0.8265039232781168,0.0,0.0,1.0,2114582,1881.2002917993702
llama3.2:3b,10,0.829,0.8339788228803919,0.8282476024411508,0.0,0.0,1.0,2397182,2521.059290349924
qwen2.5:3b,0,1.312,0.7428233728866821,0.7367044463818657,0.0,0.0,0.986050566695728,1217282,808.898345631233
qwen2.5:3b,1,7.423,0.8911402029873217,0.8727114210985178,0.0,0.0,0.993897122929381,1344374,157.8982171039117
qwen2.5:3b,2,1.34,0.8903467038769209,0.8648648648648649,0.0,0.0,0.992153443766347,1476196,960.4523155799034
qwen2.5:3b,4,1.304,0.8919082531550351,0.8692240627724499,0.0,0.0,0.992153443766347,1685802,1127.1080599697264
qwen2.5:3b,8,1.547,0.9106537287895762,0.8945074106364429,0.0,0.0,0.995640802092415,2123959,1196.9951685321705
qwen2.5:3b,10,0.77,0.8982333852700359,0.8788142981691369,0.0,0.0,0.993025283347864,2408516,2727.064391580521
qwen2.5:7b,0,3.11,0.902115186901817,0.8997384481255449,0.0,0.0,0.999128160418483,1218209,341.50573143416216
qwen2.5:7b,1,5.753,0.9168611640136863,0.9032258064516129,0.0,0.0,0.998256320836966,1344778,203.7946616988127
qwen2.5:7b,2,3.544,0.9214644193898787,0.916303400174368,0.0,0.0,0.999128160418483,1477515,363.47518602852466
qwen2.5:7b,4,3.189,0.918308298963271,0.911944202266783,0.0,0.0,1.0,1687403,461.31850905316145
qwen2.5:7b,8,3.279,0.9130450614588467,0.9032258064516129,0.0,0.0,1.0,2125452,565.1275334597354
