model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,10,0.218,0.4607762850017359,0.4986922406277245,0.0,0.0,0.9503051438535308,2408392,9631.795749582076
qwen2.5:0.5b-instruct-fp16,10,0.269,0.4615705678416473,0.4707933740191805,0.0,0.0,0.934612031386225,2408457,7805.903877255357
llama3.2:1b,0,0.451,0.6334095439163007,0.5850043591979076,0.0,0.0,0.9363557105492588,1241277,2399.544169017025
llama3.2:1b-instruct-fp16,2,0.736,0.6418024478682549,0.6198779424585876,0.0,0.0,1.0,1485749,1759.9657423903568
qwen2.5:1.5b,1,0.289,0.7409258673287997,0.6556233653007847,0.0,0.0,0.975588491717524,1344085,4054.762989353904
qwen2.5:1.5b-instruct-fp16,1,0.38,0.7863848043847078,0.7332170880557978,0.0,0.0,0.984306887532694,1344509,3084.726747120635
llama3.2:3b,10,0.553,0.8432985562944934,0.8369659982563208,0.0,0.0,1.0,2396732,3778.6000431978377
llama3.2:3b-instruct-fp16,10,0.756,0.8288766828424479,0.8247602441150829,0.0,0.0,1.0,2396771,2764.020933375772
qwen2.5:3b,8,0.487,0.9103202487154556,0.8927637314734089,0.0,0.0,0.996512641673932,2123680,3801.865056418941
qwen2.5:3b-instruct-fp16,10,0.677,0.9028931444389708,0.8866608544027899,0.0,0.0,0.999128160418483,2409067,3102.3928583846628
qwen2.5:7b,10,1.03,0.9272211362199908,0.92153443766347,0.0,0.0,1.0,2411121,2040.8841976959736
qwen2.5:7b-instruct-fp16,10,1.392,0.9274469202053812,0.923278116826504,0.0,0.0,1.0,2409370,1509.0403250859315
llama3.1:8b,10,0.921,0.93099703928699,0.9311246730601568,0.0,0.0,1.0,2396455,2268.538897203392
llama3.1:8b-instruct-fp16,10,1.366,0.9390990875358718,0.937227550130776,0.0,0.0,1.0,2396180,1529.34448641245
llama3.2-vision:11b,10,0.924,0.9263934001373816,0.925893635571055,0.0,0.0,1.0,2396321,2261.0470755632045
llama3.2-vision:11b-instruct-fp16,10,1.401,0.9401086195117214,0.93897122929381,0.0,0.0,1.0,2396234,1491.1717685773085
qwen2.5:14b,10,2.035,0.9483691923926404,0.9450741063644288,0.0,0.0,1.0,2410532,1032.7259017755966
qwen2.5:14b-instruct-fp16,10,3.13,0.9426446543235734,0.9380993897122928,0.0,0.0,1.0,2411144,671.6072766572612
