model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,10,0.218,0.4607762850017359,0.4986922406277245,0.0,0.0,0.9503051438535309,2408392,9631.795749582077
qwen2.5:0.5b-instruct-fp16,10,0.269,0.46157056784164735,0.4707933740191805,0.0,0.0,0.934612031386225,2408457,7805.903877255357
llama3.2:1b,0,0.451,0.6334095439163007,0.5850043591979076,0.0,0.0,0.9363557105492589,1241277,2399.544169017025
llama3.2:1b-instruct-fp16,2,0.736,0.6418024478682549,0.6198779424585876,0.0,0.0,1.0,1485749,1759.9657423903568
qwen2.5:1.5b,1,0.289,0.7409258673287997,0.6556233653007847,0.0,0.0,0.9755884917175239,1344085,4054.762989353904
qwen2.5:1.5b-instruct-fp16,1,0.38,0.7863848043847078,0.7332170880557978,0.0,0.0,0.984306887532694,1344509,3084.726747120635
llama3.2:3b,10,0.553,0.8432985562944934,0.8369659982563208,0.0,0.0,1.0,2396732,3778.6000431978377
llama3.2:3b-instruct-fp16,10,0.756,0.8288766828424479,0.8247602441150829,0.0,0.0,1.0,2396771,2764.020933375772
qwen2.5:3b,8,0.487,0.9103202487154557,0.8927637314734089,0.0,0.0,0.9965126416739319,2123680,3801.865056418941
qwen2.5:3b-instruct-fp16,10,0.677,0.9028931444389707,0.8866608544027899,0.0,0.0,0.999128160418483,2409067,3102.3928583846628
qwen2.5:7b,10,1.03,0.9272211362199908,0.9215344376634699,0.0,0.0,1.0,2411121,2040.8841976959734
qwen2.5:7b-instruct-fp16,10,1.392,0.9274469202053813,0.923278116826504,0.0,0.0,1.0,2409370,1509.0403250859315
llama3.1:8b,10,0.921,0.93099703928699,0.9311246730601569,0.0,0.0,1.0,2396455,2268.538897203392
llama3.1:8b-instruct-fp16,10,1.366,0.9390990875358718,0.937227550130776,0.0,0.0,1.0,2396180,1529.3444864124501
llama3.2-vision:11b,10,0.924,0.9263934001373815,0.925893635571055,0.0,0.0,1.0,2396321,2261.0470755632045
llama3.2-vision:11b-instruct-fp16,10,1.401,0.9401086195117214,0.9389712292938099,0.0,0.0,1.0,2396234,1491.1717685773085
qwen2.5:14b,10,2.035,0.9483691923926404,0.9450741063644289,0.0,0.0,1.0,2410532,1032.7259017755966
qwen2.5:14b-instruct-fp16,10,3.13,0.9426446543235734,0.9380993897122929,0.0,0.0,1.0,2411144,671.6072766572612
qwen2.5:32b,8,12.995,0.9685631585062772,0.967741935483871,0.0,0.0,1.0,2127750,142.75157134073095
llama3.1:8b_qwen2.5:7b_qwen2.5:3b,28,2.438,0.9449114392597371,0.942458587619878,0.0,0.0,1.0,2505153,895.8537912863245
qwen2.5:7b_llama3.2-vision:11b_qwen2.5:3b,28,2.441,0.9408645506147144,0.937227550130776,0.0,0.0,1.0,2506112,895.0953041027178
llama3.1:8b_llama3.2-vision:11b_qwen2.5:3b,28,2.332,0.9340652402770863,0.9337401918047079,0.0,0.0,1.0,2505122,936.5628285287446
llama3.1:8b_qwen2.5:7b_llama3.2-vision:11b,30,2.875,0.9320684978870036,0.9319965126416739,0.0,0.0,1.0,2505127,759.6761305485007
qwen2.5:14b_llama3.1:8b_qwen2.5:7b,30,3.986,0.9510213576390752,0.9503051438535309,0.0,0.0,1.0,2505695,548.0592273480285
qwen2.5:14b_qwen2.5:7b_llama3.2-vision:11b,30,3.989,0.9510561016202377,0.9503051438535309,0.0,0.0,1.0,2505819,547.6741509945725
