model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,0,2.709,0.3908628213418354,0.3295553618134263,0.0,0.0,0.6355710549258936,1214896,390.99092662483514
qwen2.5:0.5b,1,2.703,0.45756543830334767,0.4219703574542284,0.0,0.0,0.8805579773321709,1344525,433.67003823127845
qwen2.5:0.5b,2,2.707,0.4351371505392214,0.43940714908456846,0.0,0.0,0.9215344376634699,1476661,475.58607620335283
qwen2.5:0.5b,4,2.707,0.4192220732218152,0.4559721011333915,0.0,0.0,0.9110723626852659,1685927,542.9840746761037
qwen2.5:0.5b,8,2.711,0.4429669757470013,0.4969485614646905,0.0,0.0,0.9224062772449869,2123779,682.9932108427129
qwen2.5:0.5b,10,2.707,0.46577724044438984,0.5039232781168265,0.0,0.0,0.948561464690497,2408422,775.676996156756
llama3.2:1b,0,2.998,0.6265311156444756,0.5762859633827376,0.0,0.0,0.935483870967742,1241676,361.0881535089071
llama3.2:1b,1,2.96,0.6045925870843426,0.6068003487358327,0.0,0.0,0.9965126416739319,1357252,399.7655458422677
llama3.2:1b,2,2.948,0.6235618433832073,0.6041848299912816,0.0,0.0,1.0,1485494,439.319018760521
llama3.2:1b,4,2.908,0.5898555590995646,0.5736704446381866,0.0,0.0,0.999128160418483,1694140,507.9155119089449
llama3.2:1b,8,2.909,0.5102357966195435,0.5300784655623365,0.0,0.0,1.0,2113477,633.4179797957396
llama3.2:1b,10,2.859,0.5698387452004217,0.5911072362685266,0.0,0.0,0.999128160418483,2397163,731.0044025001883
qwen2.5:1.5b,0,2.725,0.6022011578807978,0.5361813426329556,0.0,0.0,0.9965126416739319,1212680,387.9862105372612
qwen2.5:1.5b,1,2.733,0.7493525974822726,0.6739319965126417,0.0,0.0,0.979947689625109,1344181,428.79992701174666
qwen2.5:1.5b,2,2.735,0.726083329934344,0.6373147340889277,0.0,0.0,0.9965126416739319,1475417,470.32063614006177
qwen2.5:1.5b,4,2.737,0.682741477962875,0.5937227550130776,0.0,0.0,0.999128160418483,1684328,536.5231343285959
qwen2.5:1.5b,8,2.753,0.6431802986588103,0.5675675675675675,0.0,0.0,0.999128160418483,2122722,672.2386705982314
qwen2.5:1.5b,10,2.764,0.7013117945845624,0.6277244986922407,0.0,0.0,0.999128160418483,2407125,759.27165436292
llama3.2:3b,0,2.806,0.6683499213137588,0.6748038360941587,0.0,0.0,0.994768962510898,1244030,386.52694034019765
llama3.2:3b,1,2.778,0.7750838042262678,0.7646033129904097,0.0,0.0,0.999128160418483,1358812,426.44567510449207
llama3.2:3b,2,2.763,0.7975541455583885,0.7829119442022667,0.0,0.0,1.0,1485626,468.7758053314426
llama3.2:3b,4,2.767,0.7982254960465284,0.7863993025283348,0.0,0.0,1.0,1693200,533.5015465936342
llama3.2:3b,8,2.783,0.8418426387301592,0.8360941586748039,0.0,0.0,1.0,2113953,662.2450229488353
llama3.2:3b,10,2.783,0.8411987554795468,0.8352223190932868,0.0,0.0,1.0,2396705,750.8236738123261
qwen2.5:3b,0,2.809,0.7587027665001053,0.7471665213600698,0.0,0.0,0.9825632083696599,1217154,377.77252901450464
qwen2.5:3b,1,2.795,0.8892586372832157,0.8683522231909329,0.0,0.0,0.992153443766347,1344247,419.30867332217673
qwen2.5:3b,2,2.798,0.8885231276717035,0.8639930252833479,0.0,0.0,0.992153443766347,1476047,459.92716182252485
qwen2.5:3b,4,2.8,0.8953186795103645,0.8700959023539668,0.0,0.0,0.993897122929381,1685592,524.8449371030017
qwen2.5:3b,8,2.808,0.9064736752509356,0.8849171752397559,0.0,0.0,0.994768962510898,2123716,659.380223896353
qwen2.5:3b,10,2.818,0.9033106711754157,0.8823016564952049,0.0,0.0,0.992153443766347,2408382,745.1109847455917
qwen2.5:7b,0,2.969,0.8984232340546373,0.8945074106364429,0.0,0.0,0.995640802092415,1218911,357.9302311035598
qwen2.5:7b,1,2.92,0.9151196316717413,0.9006102877070619,0.0,0.0,0.993025283347864,1345610,401.7657737277711
qwen2.5:7b,2,2.952,0.9218899578107954,0.916303400174368,0.0,0.0,0.998256320836966,1478929,436.7848375519501
qwen2.5:7b,4,2.965,0.9171679063397298,0.9102005231037489,0.0,0.0,1.0,1688731,496.5607178194895
qwen2.5:7b,8,2.987,0.9128203521592847,0.9032258064516129,0.0,0.0,1.0,2127143,620.8662413615058
qwen2.5:7b,10,2.983,0.9245568445058716,0.9180470793374019,0.0,0.0,0.999128160418483,2410865,704.6220357673429
llama3.1:8b,0,3.023,0.7413537514657786,0.7532693984306887,0.0,0.0,1.0,1240627,357.7994457488231
llama3.1:8b,1,2.931,0.9071846743925362,0.9040976460331299,0.0,0.0,0.999128160418483,1354688,402.95824599321145
llama3.1:8b,2,2.95,0.8846886665424474,0.8840453356582388,0.0,0.0,1.0,1483935,438.5604303045527
llama3.1:8b,4,2.949,0.922124786098829,0.9206625980819529,0.0,0.0,1.0,1692421,500.34574987812283
llama3.1:8b,8,2.933,0.9207095788504032,0.9197907585004359,0.0,0.0,1.0,2113193,628.1504605471039
llama3.1:8b,10,2.959,0.9318785991771351,0.9319965126416739,0.0,0.0,1.0,2396483,706.0996065672886
llama3.2-vision:11b,0,3.014,0.7331014265497573,0.7471665213600698,0.0,0.0,0.999128160418483,1240469,358.8221545603227
llama3.2-vision:11b,1,2.928,0.8930347214075045,0.8901482127288579,0.0,0.0,0.998256320836966,1354528,403.32347154134567
llama3.2-vision:11b,2,2.941,0.8755665612801495,0.8753269398430689,0.0,0.0,1.0,1483767,439.852703280767
llama3.2-vision:11b,4,2.949,0.9167575884626649,0.9154315605928509,0.0,0.0,1.0,1692296,500.308794995895
llama3.2-vision:11b,8,2.946,0.917607339500892,0.916303400174368,0.0,0.0,1.0,2113037,625.3324147352134
llama3.2-vision:11b,10,2.956,0.9339141589266586,0.9337401918047079,0.0,0.0,1.0,2396280,706.7563438422053
qwen2.5:14b,0,3.3,0.89046817042476,0.8884045335658239,0.0,0.0,1.0,1218342,321.87841800745025
qwen2.5:14b,1,3.259,0.9443315044460271,0.939843068875327,0.0,0.0,1.0,1345884,360.047543212773
qwen2.5:14b,2,3.272,0.9423757560904567,0.939843068875327,0.0,0.0,1.0,1478133,393.85539613278394
qwen2.5:14b,4,3.264,0.9303027020650105,0.925893635571055,0.0,0.0,1.0,1687925,450.85778971571193
qwen2.5:14b,8,3.281,0.9394999774603564,0.937227550130776,0.0,0.0,1.0,2126407,565.0368146951604
qwen2.5:14b,10,3.292,0.9508787846809517,0.9476896251089799,0.0,0.0,1.0,2410575,638.4066522525347
qwen2.5:32b,0,7.876,0.9278176000438443,0.925893635571055,0.0,0.0,1.0,1219194,134.95957170493122
qwen2.5:32b,1,7.408,0.9563898297915706,0.953792502179599,0.0,0.0,0.999128160418483,1345689,158.37269635691567
