model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,10,2.707,0.46577724044438984,0.5039232781168265,0.0,0.0,0.948561464690497,2408422,775.676996156756
llama3.2:1b,0,2.998,0.6265311156444756,0.5762859633827376,0.0,0.0,0.935483870967742,1241676,361.0881535089071
qwen2.5:1.5b,1,2.733,0.7493525974822726,0.6739319965126417,0.0,0.0,0.979947689625109,1344181,428.79992701174666
llama3.2:3b,8,2.783,0.8418426387301592,0.8360941586748039,0.0,0.0,1.0,2113953,662.2450229488353
qwen2.5:3b,8,2.808,0.9064736752509356,0.8849171752397559,0.0,0.0,0.994768962510898,2123716,659.380223896353
qwen2.5:7b,10,2.983,0.9245568445058716,0.9180470793374019,0.0,0.0,0.999128160418483,2410865,704.6220357673429
llama3.1:8b,10,2.959,0.9318785991771351,0.9319965126416739,0.0,0.0,1.0,2396483,706.0996065672886
llama3.2-vision:11b,10,2.956,0.9339141589266586,0.9337401918047079,0.0,0.0,1.0,2396280,706.7563438422053
qwen2.5:14b,10,3.292,0.9508787846809517,0.9476896251089799,0.0,0.0,1.0,2410575,638.4066522525347
qwen2.5:32b,8,8.13,0.9660024131895552,0.96512641673932,0.0,0.0,1.0,2127910,228.1914100745192
