model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,0,0.148,0.42987216975528625,0.37401918047079336,0.0,0.0,0.7070619006102877,1216142,7164.05900233276
qwen2.5:0.5b,1,0.135,0.47234513657072097,0.44027898866608545,0.0,0.0,0.8770706190061028,1344360,8681.97229487552
qwen2.5:0.5b,2,0.139,0.45505067177609354,0.45858761987794244,0.0,0.0,0.9102005231037489,1476977,9263.93532079306
qwen2.5:0.5b,4,0.137,0.4193805554564878,0.45422842197035745,0.0,0.0,0.9006102877070619,1685757,10727.807864374852
qwen2.5:0.5b,8,0.144,0.4756179031003685,0.5135135135135135,0.0,0.0,0.9128160418482999,2123853,12858.743824469631
qwen2.5:0.5b,10,0.16,0.4821673331286332,0.5126416739319966,0.0,0.0,0.949433304272014,2408453,13123.654097646033
qwen2.5:0.5b-instruct-fp16,0,0.161,0.3784368384137439,0.3147340889276373,0.0,0.0,0.6748038360941586,1216927,6589.845505694033
qwen2.5:0.5b-instruct-fp16,1,0.144,0.3908166383485488,0.36617262423714037,0.0,0.0,0.8744551002615519,1343962,8136.939358713553
qwen2.5:0.5b-instruct-fp16,2,0.149,0.43601987300428463,0.4010462074978204,0.0,0.0,0.8727114210985178,1476732,8640.761133508482
qwen2.5:0.5b-instruct-fp16,4,0.145,0.4088610120655872,0.4115082824760244,0.0,0.0,0.8753269398430689,1685916,10136.884826984939
qwen2.5:0.5b-instruct-fp16,8,0.149,0.46714200514510845,0.48299912816041846,0.0,0.0,0.8901482127288579,2123961,12427.874291264636
qwen2.5:0.5b-instruct-fp16,10,0.151,0.4652496267245179,0.4742807323452485,0.0,0.0,0.9267654751525719,2408457,13905.881741600604
llama3.2:1b,0,0.215,0.6351000130429979,0.5815170008718396,0.0,0.0,0.9197907585004359,1241648,5034.966849820564
llama3.2:1b,1,0.293,0.6000733531213565,0.6050566695727986,0.0,0.0,0.9965126416739319,1357812,4040.2533988353653
llama3.2:1b,2,0.315,0.6141439801543241,0.6006974716652136,0.0,0.0,1.0,1486018,4112.91844840232
llama3.2:1b,4,0.299,0.5957531813271729,0.5823888404533566,0.0,0.0,1.0,1694487,4940.872364434777
llama3.2:1b,8,0.289,0.5124249890583668,0.5318221447253705,0.0,0.0,1.0,2113717,6376.547213582597
llama3.2:1b,10,0.289,0.5888504348735543,0.6085440278988666,0.0,0.0,0.999128160418483,2397589,7232.916921833096
llama3.2:1b-instruct-fp16,0,0.265,0.6350365677771576,0.5823888404533566,0.0,0.0,0.9215344376634699,1241394,4084.1374545574176
