model,shots,eval_time,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,total_tokens,eval_speed
qwen2.5:0.5b,10,0.16,0.4821673331286332,0.5126416739319966,0.0,0.0,0.949433304272014,2408453,13123.654097646033
qwen2.5:0.5b-instruct-fp16,8,0.149,0.46714200514510845,0.48299912816041846,0.0,0.0,0.8901482127288579,2123961,12427.874291264636
llama3.2:1b,0,0.215,0.6351000130429979,0.5815170008718396,0.0,0.0,0.9197907585004359,1241648,5034.966849820564
llama3.2:1b-instruct-fp16,0,0.265,0.6350365677771576,0.5823888404533566,0.0,0.0,0.9215344376634699,1241394,4084.1374545574176
qwen2.5:1.5b,1,0.158,0.7366240177902896,0.6608544027898866,0.0,0.0,0.976460331299041,1344445,7418.609912484963
qwen2.5:1.5b-instruct-fp16,1,0.209,0.8099975553031544,0.7663469921534438,0.0,0.0,0.980819529206626,1345192,5611.443207368505
llama3.2:3b,10,0.214,0.8361210121705911,0.8299912816041848,0.0,0.0,1.0,2397108,9765.858110145116
llama3.2:3b-instruct-fp16,8,0.326,0.8222628761915279,0.8169136878814298,0.0,0.0,1.0,2114116,5653.895732265018
qwen2.5:3b,8,0.214,0.9130121024532599,0.8979947689625108,0.0,0.0,0.994768962510898,2123853,8652.612666932835
qwen2.5:3b-instruct-fp16,10,0.319,0.9025388694132519,0.8875326939843069,0.0,0.0,0.998256320836966,2409169,6584.353895811069
qwen2.5:7b,10,0.318,0.92647992402865,0.9197907585004359,0.0,0.0,0.999128160418483,2409844,6606.910014091997
qwen2.5:7b-instruct-fp16,2,0.517,0.9299232251052649,0.9241499564080209,0.0,0.0,0.999128160418483,1477035,2490.7883487155964
llama3.1:8b,10,0.309,0.9195723471043473,0.918918918918919,0.0,0.0,1.0,2396126,6760.63912330746
llama3.1:8b-instruct-fp16,10,0.549,0.9414668936152565,0.9407149084568439,0.0,0.0,1.0,2396309,3805.459081503502
llama3.2-vision:11b,10,0.332,0.925294088529936,0.9250217959895379,0.0,0.0,1.0,2396407,6293.019506097625
llama3.2-vision:11b-instruct-fp16,10,4.466,0.9444460669324957,0.944202266782912,0.0,0.0,1.0,2396331,467.8047953910023
qwen2.5:14b,10,0.526,0.9488110916199264,0.9450741063644289,0.0,0.0,1.0,2410321,3995.0822280639527
qwen2.5:14b-instruct-fp16,1,13.145,0.9419874181269471,0.934612031386225,0.0,0.0,1.0,1346144,89.28274032876544
qwen2.5:32b,8,0.872,0.9686016449279512,0.967741935483871,0.0,0.0,1.0,2128102,2127.7105012677666
llama3.1:70b,4,15.657,0.9546334917482155,0.955536181342633,0.0,0.0,1.0,1691353,94.18078122996258
llama3.3:70b,4,20.241,0.9572978076611618,0.958151700087184,0.0,0.0,1.0,1692241,72.88981202835389
qwen2.5:72b,8,17.072,0.9685057142285245,0.9659982563208369,0.0,0.0,1.0,2127607,108.65346746208071
llama3.2-vision:90b,4,26.505,0.9612915930066019,0.9616390584132519,0.0,0.0,1.0,1691358,55.63451616357033
qwen2.5:7b_llama3.1:8b_qwen2.5:3b,28,0.841,0.9413273662970569,0.937227550130776,0.0,0.0,0.999128160418483,2505030,2596.889782268172
qwen2.5:7b_llama3.2-vision:11b_qwen2.5:3b,28,0.864,0.9426514694130257,0.9389712292938099,0.0,0.0,0.999128160418483,2505053,2527.782823145726
llama3.2-vision:11b_llama3.1:8b_qwen2.5:3b,28,0.855,0.9326595437631695,0.9311246730601569,0.0,0.0,1.0,2504916,2554.25136511724
qwen2.5:7b_llama3.2-vision:11b_llama3.1:8b,30,0.959,0.9312988366479699,0.9311246730601569,0.0,0.0,1.0,2505138,2277.4540829638545
qwen2.5:14b_qwen2.5:7b_llama3.2-vision:11b,30,1.176,0.9507519326780243,0.9503051438535309,0.0,0.0,1.0,2505497,1857.475727867433
