model,shots,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,eval_time
gpt-4o-mini,0,0.9218056781248356,0.92153443766347,0.9218056781248356,0.92153443766347,0.999128160418483,0.7131647776809067
gpt-4o-mini,1,0.9386349665190264,0.931996512641674,0.9386349665190264,0.931996512641674,1.0,0.5902353966870096
gpt-4o-mini,3,0.9192356125561316,0.9128160418483,0.9192356125561316,0.9128160418483,1.0,0.5858761987794245
gpt-4o-mini,5,0.9254102399184652,0.9206625980819528,0.9254102399184652,0.919790758500436,0.999128160418483,0.5954664341761116
gpt-4o-mini,10,0.929714976634432,0.925893635571055,0.929714976634432,0.9241499564080208,0.997384481255449,0.6329555361813426
gpt-4o,0,0.9496605867954632,0.949433304272014,0.9496605867954632,0.949433304272014,1.0,0.5727986050566696
gpt-4o,1,0.9742446324816364,0.97384481255449,0.9742446324816364,0.97384481255449,1.0,0.5823888404533566
gpt-4o,3,0.9746057493219512,0.974716652136007,0.9746057493219512,0.974716652136007,1.0,0.5884917175239756
gpt-4o,5,0.9875529955707134,0.987794245858762,0.9875529955707134,0.987794245858762,1.0,0.5919790758500436
gpt-4o,10,0.9711891192296984,0.9712292938099388,0.9711891192296984,0.9712292938099388,1.0,0.6120313862249346
meta-llama/Meta-Llama-3.1-8B-Instruct,0,0.7150655385375879,0.7262423714036618,0.09748091409555691,0.05928509154315606,0.49433304272013945,7.19180470793374
meta-llama/Meta-Llama-3.1-8B-Instruct,1,0.8707570474419446,0.8343504795117699,0.625290292974193,0.5492589363557105,0.9128160418482999,1.6843940714908456
meta-llama/Meta-Llama-3.1-8B-Instruct,3,0.8651995909232285,0.8474280732345248,0.6224474563342016,0.5510026155187445,0.9293809938971229,1.6006974716652136
meta-llama/Meta-Llama-3.1-8B-Instruct,5,0.8635122279364704,0.8561464690496948,0.653001385805926,0.6163905841325196,0.9267654751525719,1.5945945945945945
meta-llama/Meta-Llama-3.1-8B-Instruct,10,0.772774610230408,0.7933740191804708,0.7612440704204737,0.7811682650392328,0.99128160418483,0.987794245858762
meta-llama/Meta-Llama-3.1-70B-Instruct,0,0.9254039895886738,0.9197907585004359,0.924846821322209,0.918918918918919,0.995640802092415,3.114210985178727
meta-llama/Meta-Llama-3.1-70B-Instruct,1,0.9320342429090827,0.9293809938971229,0.9320342429090827,0.9293809938971229,0.999128160418483,3.3182214472537055
meta-llama/Meta-Llama-3.1-70B-Instruct,3,0.9382890137674484,0.9380993897122929,0.9382890137674484,0.9380993897122929,1.0,3.7541412380122057
meta-llama/Meta-Llama-3.1-70B-Instruct,5,0.9395411002091915,0.9389712292938099,0.9395411002091915,0.9389712292938099,1.0,4.045335658238884
meta-llama/Meta-Llama-3.1-70B-Instruct,10,0.9401192566995432,0.939843068875327,0.9401192566995432,0.939843068875327,1.0,7.378378378378378
