model,shots,f1,accuracy,f1_raw,accuracy_raw,ratio_valid_categories,eval_time,total_tokens,eval_speed
Llama-3.1-8B-Instruct_GMRID_v2,0,0.7150655385375879,0.7262423714036618,0.0974809140955569,0.059285091543156,0.4943330427201394,7.19180470793374,1240729,150.4096254091405
Llama-3.1-8B-Instruct_GMRID_v3,0,0.7460895626823899,0.7332170880557978,0.0,0.0,0.951176983435048,2.356,1240729,459.1327046417687
Llama-3.1-8B-Instruct_GMRID_v2,1,0.8707570474419446,0.8343504795117699,0.625290292974193,0.5492589363557105,0.9128160418483,1.6843940714908456,1359453,703.6506211180124
Llama-3.1-8B-Instruct_GMRID_v3,1,0.8950393166717612,0.8753269398430689,0.0,0.0,0.9616390584132519,2.485,1359453,476.95168394850356
Llama-3.1-8B-Instruct_GMRID_v3,2,0.8103881257141332,0.7663469921534438,0.0,0.0,0.8892763731473409,3.073,1493430,423.7004185567636
Llama-3.1-8B-Instruct_GMRID_v2,3,0.8651995909232285,0.8474280732345248,0.6224474563342016,0.5510026155187445,0.9293809938971228,1.6006974716652136,1493430,813.4150326797386
Llama-3.1-8B-Instruct_GMRID_v3,4,0.8051716902387483,0.7367044463818657,0.0,0.0,0.8299912816041848,4.029,1708590,369.7236015349051
Llama-3.1-8B-Instruct_GMRID_v2,5,0.8635122279364704,0.8561464690496948,0.653001385805926,0.6163905841325196,0.926765475152572,1.5945945945945943,1708590,934.1662110442867
Llama-3.1-8B-Instruct_GMRID_v3,8,0.7908839333463429,0.7088055797733217,0.0,0.0,0.7802964254577158,5.516,2136924,337.7547001257497
Llama-3.1-8B-Instruct_GMRID_v2,10,0.772774610230408,0.7933740191804708,0.7612440704204737,0.7811682650392328,0.99128160418483,0.987794245858762,2136924,1886.0759046778464
Llama-3.1-70B-Instruct_GMRID_v3,0,0.9405363837146353,0.9389712292938099,0.0,0.0,0.9197907585004359,23.488,1245682,46.2378607622301
Llama-3.1-70B-Instruct_GMRID_v2,0,0.9254039895886738,0.919790758500436,0.924846821322209,0.918918918918919,0.995640802092415,3.114210985178727,1245682,348.73516237402015
Llama-3.1-70B-Instruct_GMRID_v3,1,0.9501534338421473,0.949433304272014,0.0,0.0,0.95640802092415,20.716,1359733,57.22480448420815
Llama-3.1-70B-Instruct_GMRID_v2,1,0.9320342429090828,0.9293809938971228,0.9320342429090828,0.9293809938971228,0.999128160418483,3.3182214472537055,1359733,357.2603783499737
